,architecture,downstream,pre-training,number_of_samples,model_name,f1_macro_mean,f1_macro_std,f1_macro_count
80,ViT_T16,Cassava,Derma,10,lr,0.2980690385642186,0.027814970594212896,100
81,ViT_T16,Cassava,Derma,100,dc,0.01921708185053381,0.0,100
82,ViT_T16,Cassava,Derma,100,knn,0.37247071409389315,0.015238195813322806,100
83,ViT_T16,Cassava,Derma,100,lr,0.3779204936058782,0.014416905517448151,100
84,ViT_T16,Cassava,Derma,3,dc,0.01921708185053381,0.0,100
85,ViT_T16,Cassava,Derma,3,knn,0.24049077439894934,0.032460869465731755,100
86,ViT_T16,Cassava,Derma,3,lr,0.2525649078659699,0.03341603720389584,100
87,ViT_T16,Cassava,Derma,30,dc,0.01921708185053381,0.0,100
88,ViT_T16,Cassava,Derma,30,knn,0.323021236246503,0.022481772578205206,100
89,ViT_T16,Cassava,Derma,30,lr,0.3397511916581287,0.021687491300012414,100
90,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,1,dc,0.01921708185053381,0.0,100
91,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,1,knn,0.21271192695420954,0.046612662913898616,100
92,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,1,lr,0.21707335905269468,0.04381983434253869,100
93,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,10,dc,0.01921708185053381,0.0,100
94,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,10,knn,0.27911433489441356,0.027053064202502582,100
95,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,10,lr,0.3231550827291711,0.029122825499137243,100
96,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,100,dc,0.01921708185053381,0.0,100
97,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,100,knn,0.40164128511939184,0.01408837784400263,100
98,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,100,lr,0.42972921692186056,0.012546879204932066,100
99,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,3,dc,0.01921708185053381,0.0,100
100,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,3,knn,0.24374021175134503,0.03433082849283366,100
101,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,3,lr,0.2624445487208343,0.03710732964679478,100
102,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,30,dc,0.01921708185053381,0.0,100
103,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,30,knn,0.34490072494815704,0.020149158965684047,100
104,ViT_T16,Cassava,ImageNet_1k_SL_WinKawaks,30,lr,0.38152380749941645,0.02028348268290119,100
105,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,1,dc,0.01921708185053381,0.0,100
106,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,1,knn,0.2445896135948709,0.05098503336194155,100
107,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,1,lr,0.24874229609878992,0.05008552449049138,100
108,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,10,dc,0.01921708185053381,0.0,100
109,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,10,knn,0.3224665808148558,0.031878095112240185,100
110,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,10,lr,0.3595927946985678,0.029972812277875016,100
111,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,100,dc,0.01921708185053381,0.0,100
